name,modrinth,curseforge,description
,mjPjLK0t,945447,宇宙をテーマにした GUI - 星や星雲がいっぱい。
,zzh3Y6f4,298127,Google に似たオープン フォント。
,WiAsCCzc,817895,LabPBR規格に完全準拠した超かわいいリソースパックです！
,iHC8BZn4,1040578,雰囲気のある、高度にカスタマイズ可能なホラー シェーダー パック。Insanity Shader の後継です。
,UHDcis5V,506559,最高のバニラリソースパック?もしかしたら...
,ijwaqfQD,380118,より良い草のテクスチャ (Optifine をサポート)
,HNlCBDGp,696522,このリソース パックは、完全な 424Friends リソース パックの軽量バージョンであり、公式ロゴとアイコンを使用して 424Friends をテーマにした絵画に置き換えられた、修正された絵画のみが含まれています。
,6uJCfiCH,921717,Complementary Shaders の恐ろしい修正版
,an4fOhuR,720642,迷惑な村人サーバーパック
,wE0hjz4k,883456,ChoiceTheorem の村改修 MOD と展望台 MOD 間の互換性データ パック
,VpyBGfGz,591507,RS村にPneumaticCraftの家を追加しました
,6SLU7tS5,349116,🌙 Minecraft: Java Edition 用ダークモード リソース パック
,DG1SXHAm,951805,PVP 用に特別に設計された十字線モジュールで、元の十字線を PVP スタイルに置き換えます。
,pedwdTC8,862558,アイテムのツールチップに食品の栄養価を表示する
,uakHOvte,986528,PVP 用に特別に設計された十字線モジュールで、元の十字線を PVP スタイルに置き換えます。
,orfTV6nk,223164,古典的な MC 体験の 128 倍 HD バージョン!コマ落ちせずに光と影のテクスチャを取得！
,qYQZ6QvN,939100,MCメインインターフェースの背景画像をカスタマイズする
,LgvDiFDR,476719,鉱石のバリエーションを複数追加！
,wpQSS5ZP,664122,真の 16x デフォルト PBR マテリアル
,dLYWYSIm,878406,CTOV および高度なペリフェラル モジュールの互換性データ パッケージ
,DyS2E78l,986353,「Create: Teleporters」の一部のブロック/アイテムのリテクスチャとモデル変更
,LxWe8vLh,1096454,16x Texture Pack: Ashen 16x および Let's Do シリーズ モジュールに基本的な互換性を提供します。
,CpA767Rl,308355,バージョン 1.8.8 以降に適用されます。すべてのゲームインターフェイスを透明にし、ミニマリストでモダンなスタイルを表現します。炎とパンプキンヘッドのオーバーレイ効果をサポート
,6gN0TwLG,909738,
,r4GILswZ,419139,4 倍の解像度のテクスチャが究極のディテール体験をもたらします。
,vlbXWQ2k,907048,シールドが画面の半分を覆うことはなくなりました。
,B9RvpVrv,622551,MC ワールドに本物の山岳バイオームを追加
,uudmIrRl,864002,オリジナルコンテンツを天国の次元に注入しましょう！
,apRwIWGw,690845,それぞれのエンチャントされた本に独自のテクスチャをデザインしてください。 Optifine/Citresewn は必要ありません。
,mKaYfrOy,640296,RS ピラミッドをより良い砂漠の寺院スタイルに変更しました
,ePaZVJM4,634440,RSウィッチハットをベターウィッチハットスタイルに変更
,uZAJ8Zy7,870007,ChoiceTheorem Village オーバーホール互換性データ パック (Wizards Mod 付き)
,qUbxpIPN,554329,RSダンジョンをベターダンジョンスタイルに変更
,tN4E9NfV,855981,チャットの報告メカニズムをシンプルかつ中立的な方法で説明する教育ツール
,zCW2yzTP,861004,超リアルなテクスチャ パックと見事な視覚効果で、前例のない MC アドベンチャーを始めましょう!
,2C5ThaTB,520155,モダンなスムーズフォントの美化
,zSHTYbCW,885169,光る鎧パターン素材パック (Optifine が必要、名前変更により 10 色と 16 個の光るパターンを有効化)
,dqHyaXIs,407973,飼い慣らされたオオカミは 41 種類の本物の犬種に変身します
,aTAs6Zq8,859805,PVP 用に特別に設計された十字線モジュールで、元の十字線を PVP スタイルに置き換えます。
,izDZRaNR,428068,MC自発光素材
,Bod7oeB2,643512,PVP 専用 RPG 剣ツールキット (カスタムクロスヘアを含む)
,GJ4GGBq6,689285,NBAarmors モジュールの公式 HD テクスチャ パックには、55 セットの HD アーマーが含まれています
,mh9nQqo4,881633,CC:Tweaked のメカニカルパワースタイルのリメイク
,zrzYrlm0,811803,敵対的な生き物が地面から飛び出したり、どこからともなく現れたりします。
,kl640Av3,652685,RS村にペットショップを追加しました！
,P5wB88AS,554331,再建された村にファーマーズ ジョイを追加する
,7z5vv7za,686611,鉱石を暗闇で光らせる
,DCHWs5EF,499464,Bare Bones を Fresh Animations テクスチャ パックと互換性を持たせる
,a2GCqbko,883459,CTOV およびパラグライダー モジュールの互換性データ パッケージ
,Z9UclEVT,704941,BetterNether に大工作業台のレシピを追加しました
,O7z3QKAG,422346,ゲームの複数のシステムにアイコンのデザインを追加します
,qfYE1L5z,662592,鉱石に輝く輪郭を追加しましょう。ほとんどのテクスチャ パックと互換性があります。
,3xf3eGxN,390367,Chris Geddes がプロデュースした Pokémon MOD サウンドトラック
,kJix7Q1N,887445,終端寸法が強化されました！
,S2Zdxlhc,951803,ミニフロントサイト交換モジュール
,RbDebQrR,1014677,Stoneborn UI オーバーホール MOD の互換性のある小さなコレクション
,ZTdGFilE,1038940,より優れた 3D Craft テクスチャ パック: 70 以上の新しい 3D ブロック/アイテム モデルが追加されました
,udpUpENa,956447,色付きのブロック境界線をデフォルトの色に戻す
,1PGegzf5,911408,トップレベルのインターフェイスをカバーするマテリアル パック
,XSPvBAGx,554361,RS 村に氷と炎の伝説の建物を生成する
,WbANFu9v,775765,ゼルダの伝説 風のタクト フォント
,ESu26zW9,332329,伝統的な魅力を残しつつ、MCスタイルを一新？ CreatorPack HD テクスチャ パックはあなたを満足させます!
,uefkcaqY,920589,メカニカルパワースタイル プログレスサインスタイル
,KEtTF8II,847523,光と影をサポートした新しいパノラマ
,FRSckbRo,336686,革新的な 3D モデルを備えたクラシックな MC スタイル
,L21ipgCe,892905,タロットデッキ MOD のゴールドカードをカラーバージョンに置き換える
,mC2IML84,877191,バッジアイコンと色付きラベルをアイテムツールチップに追加しました
,Symh7COQ,468836,ストレージ ネットワーク テクスチャ パックの作成: Lotrazar のストレージ ネットワーク モジュール テクスチャを Simibubi の機械的パワー スタイルに置き換えます。
,8PxXQiGm,649817,RS村に鶏小屋が生成できるようになりました！ ！ ！
,E4PmmlqX,333412,素朴でありながらクラシック
,S313KZR3,905155,ChoiceTheorem Village オーバーホール互換性データ パック (Monobanks Mod 付き)
,C5cIabB8,222097,リアルなトーンとランダムなブロックバリエーションがMCをよりオーガニックな雰囲気にします。
,A8aBf1Xa,451763,オリジナルのスタイルを維持する PBR/POM HD テクスチャ パック
,L0iIXINl,882877,パーソナルデザイン用のエレガントなMCフォント
,ZyLGK5YD,973588,Mechanical Power (Create) MOD 用の 32x32 解像度のアイテム/ブロック/GUI テクスチャ パック
,DERCGCA3,888288,このリソース パックは、Loading Backgrounds MOD を完全に補完するもので、特に建物関連のロード画面を追加します。
,zREUZ4Cs,683155,Whimscape 用 Lush Foliage アドオン
,fUawEtti,964322,GregTech/GT MOD のアイテム、ブロック、GUI 用の 32x32 HD テクスチャ
,KP2WhfaM,316946,【更新】アントマンになろう！
,vqrI97xw,952112,Terra Resurrection MOD のアイテム、ブロック、GUI 用の 32x32 HD テクスチャ
,rox3U8B6,327786,プロモーション ビデオ風の Minecraft テクスチャ
,9nStzADg,858982,ポケモンをさまざまなサイズでスポーンできるようにします (Pehkui mod のインストールが必要です)
,cWBm5y89,1096434,16x ミニ リソース パック: Ashen 16x と Eldritch End の基本的な互換性を提供します
,f9KJTi50,263638,メインインターフェース（タイトル画面）のBGMを無効にする
,ur1ZuVtB,1096438,16x ミニ リソース パック: Ashen 16x および Better End の基本的な互換性を提供します
,R4g9Nf07,593570,PBR テクスチャ パック: ピクセル アート スタイルを丸みのある 3 次元効果に変換します。
,8bf2GogI,855152,オリジナルのスタイルを維持しながら、さまざまな要素が大幅に最適化、アップグレード、修復されています。
,BcyGAwlg,860903,「Roadstone」モジュールの質感を向上させるテクスチャパック
,9D4BBjDX,855573,シェーダーなしで光沢のある 3D 鉱石エフェクトを実現
,WQ8xE11Z,690393,RS水中記念碑をBetter Ocean Monumentスタイルに変更します
,7FPKQLzr,871465,輝くダイナミックな鉱石 (1.16 から最新バージョンまでをサポート): 夜に光る効果と暗い効果
,Srw5RQ6k,513425,テクスチャ パックが嫌いな人のためのテクスチャ パック
,rpaqVyiI,1028445,Fresh__LXによるFreshアニメーションと互換性のあるAshenカスタムクリーチャーモデル
,eddq8rrf,683123,新しい猫の品種を追加し、既存の猫のリアルな外観を最適化します (Optifine/Fabric をサポート)
,TghJ0CEU,957898,プレイヤーのアニメーションは完全に作り直され、生き生きとしたものになりました。
,FXw3rwS0,836124,メニューのクリック音を軽減する
,6seZEdkp,846549,リファクタリングされた Minecraft GUI |ライトテーマ
,ruIZ2s2r,522485,雨の彩度を下げて、現実的なグレートーンの雨のシーンに近づけます (特にシェーダとの使用に適しています)
,LSmohupN,864112,16x 中世ファンタジー スタイルの Minecraft
,BY2ksJHF,351975,32x ピュア ピクセル スタイルのアドベンチャー テーマ テクスチャ パック
,lxdu8mT0,820784,ストーリーモードのテクスチャをクラッカーのウィザーストーム MOD に追加しました
,xGCng9FL,776419,スタイルを作るトムのシンプル収納
,RPrIU0O0,1068288,これで猫がさらに魅力的になりますよ！それでもオリジナルのスタイルと調和して共存しています...
,QSKCFxWX,893328,C418 の失われた懐かしい音楽で Minecraft のサウンドトラックを完成させましょう!
,bY6ifSOi,538478,エンチャントされた本に鉱物/宝石のエッジ テクスチャを追加しました (テーマ化された視覚的なエンチャント効果)
,itBxlKsu,858848,BetterEnd MOD でエンドシティの視覚効果を強化
,8Xv7wkWd,844259,探検可能な、半分埋もれたジャングルの要塞 (地上の塔を含む)
,olO1TaXd,785390,シェーダー用にカスタマイズされたリアルなテクスチャ (オリジナルのトーンを維持)
,XFnaXwdB,759452,シャープなテクノロジースタイルのRPGフォント
,Kit8I4Pu,825997,
,hJAzl1Bs,326818,壮大な中世ファンタジー スタイル
,O7XvzQkN,1028450,さまざまなコミュニティ MOD のサポートを Ashen 16x に追加しました [非推奨]
,PFPUNiJp,426352,氷と雪の冬テーマのテクスチャパック！
,GalExSh7,384081,ゴールデンデイズα：α版の定番の草葉色を再現！現代の MC でアルファ エクスペリエンスを追体験するには、Golden Days Base と併用する必要があります。
,p7P0HjJw,878428,ChoiceTheorem 村オーバーホール互換性データ パック (Savage および Ravage Mod 付き)
,73G2oXxA,893171,PVP 固有のテクスチャ パック (1.16-最新バージョン): 鎧とネザライト/ダイヤモンド/鉄/金/鎖/木/石アイテムのテクスチャのフルセットがリメイクされました
,ia2umfZR,399487,【1.7-1.19】本当に透明なガラス！
,ti4S0dP0,305952,Jakob.zero によって作成されたピクセル スタイルのマテリアル パックは、マルチサイズのブロック パターンに基づいており、ブロックの世界のユニークな魅力を強調しています。
,AdXxxPfs,758265,EnhancedVisuals のピクセル化されたテクスチャ (オリジナルのスタイルに近い)
,oUSJyuav,656215,家畜のリアリズムのアップデート
,5cWrW4FI,834273,Croptopia モジュールと CTOV 互換性データ パッケージ
,a84VJ7Y9,771370,経験値バーを虹色に変えるシンプルなテクスチャパック
,E8fGzGhh,616586,新しい PBR/POM テクスチャ パック: 元のピクセルの感触を維持しながらディテールを追加します。
,TjOXlt9Y,885553,オリジナル接続テクスチャ + Fusion サポート
,beHlML1z,955645,PVP から十字線への置換 (元の十字線を PVP スタイルに変更)
,EkrInWCl,350660,ダークローディングインターフェイスとGUI要素（目の保護の最適化）
,PsMUgCo5,622551,これまでで最大かつ最も多用途な Skyrim テクスチャ パック
,uJ0YMl4f,547822,RS 要塞をより良い要塞スタイルに変更する
,7DqvgzpQ,836155,オリジナルスタイルの3Dテクスチャパック（従来のピクセル感を壊すことなく）
,CjZB9nf0,836909,OR のイベント項目サポートを追加
,R2M9Yj9d,354421,Vanilla Additions の冬/クリスマスをテーマにしたリソース パック
,re5yGOyz,679166,月。
,uPCMwj7H,928023,コブルモン作物（球果/木の果実/根/ハーブなど）を植木鉢に使用します
,6ZymelzH,993307,「Skyland」モジュールはテクスチャを再調整し、Maffhew の Excalibur テクスチャ パックに適応します
,H0lxoIBE,904898,再利用された構造物の村にガゼボを追加する
,uvpymuxq,380969,高性能リーフ外観の最適化 (高いモジュール互換性)
,iunZDj0l,869986,Beautify モジュールと CTOV 互換性データ パッケージ
,eN2UAbCS,355140,Vattic の Faithful 32x バリアント テクスチャ パック (元のスタイルを維持しながら微調整)
,pMLZzzF5,858433,みなさん、こんにちは！今回もたらされたテクスチャパックは、ゲーム画面の鮮明さを向上させることができます。
,lUrFvZH1,470652,驚くべき 32x PvP テクスチャ パック Celesta は、純粋な革新性であなたを戦場に導き、比類のない PvP 体験の世界に浸ることができます。
,ZVTx4h1P,554341,洞窟と崖の MOD で RS 体験を強化しましょう
,cwUMcX8W,687374,目標は、すべてのダークスタイル GUI (オリジナル バージョンと MOD を含む) を削除することです。
,6NpNU321,626693,Advanced Peripheral Mod ハウスが RS 村に生成されるようにしました
,7vT7Bwz9,837728,Yung の改良版ネザー要塞 MOD をベースに、巨大なジャングル要塞を世界に追加します。
,ctsYF3nI,972258,元の退屈なオオカミの外観を改善しました。
,DasdQ0y9,465262,ドラゴンの卵に詳細なモデルとアニメーション効果を追加する
,9M4nfwjl,637986,初代ガイドパックが栄光を取り戻して
,hFoOkEdk,509339,ベッドをもっとゴージャスで愛らしいスタイルに変身させましょう！
,quMLCyp9,886331,ゲーム画像を含むデフォルトのリソースパックを作成しましたが、画像を置き換えるだけで簡単にカスタマイズできます
,Dp3twuO6,977843,Mine Cell の代替 3D 武器モデル
,FsygnwFm,422825,目に見える鉱物テクスチャ パックは鉱石を強調表示することで採掘効率を向上させます
,Grn2JrYW,554344,RS 村に浸漬設計住宅を生成させました
,PXOlmnke,821245,村人をリードでつなぐことができるようになりました。
,TM94CBvz,990393,オセロット本来の単調な見た目を改善！
,wKu40yBb,876714,炎の視覚的干渉を軽減
,ZemCyvLM,959646,GregTech のモダンなスタイルのリソース パック
,wmXxr9ku,859798,オリジナルの十字線を最新のより良いバージョンに置き換えました
,BFzJ6aQL,384081,Golden Years Resource Pack は、古いバージョンの MC のテクスチャ/ライティング/名前/サウンドエフェクトを復元します。
,lP7OH3rE,859808,スナイパースタイルの十字線が元の十字線を置き換えます
,NlV6RQjs,335761,アニメ風テクスチャパック
,ItHr72Fy,572892,Na/HD復元/オリジナルで最大限の明るさ効果を実現
,nXngdyOv,554338,RS魔女小屋をヘクセレイ風に変身させる
,CdRC4fyI,628469,Nongfu Leshi と CTOV の間の互換性拡張
,nELgl6gi,948934,DarkRPG のテキストを元の言語に復元する
,eshAdv4B,643669,ポケモン カスタム GUI パック
,9aE6Ib8a,943817,雨や雪による視界の妨げを軽減します
,hl0bs6jf,821708,RS村にウィザードタワーを追加
,sPT9u2eL,665218,村人の肌の色/目の色/眉の色のバリエーションを追加
,ZpBKASR2,478165,CIT テクノロジーを通じて、認識可能なカスタム テクスチャをエンチャントされた本に追加します
,6DwvxSMP,585361,プレイヤーと生き物の健康状態を表示！
,UiaFErsS,872654,ChoiceTheorem 村人強化互換データパックによる村のオーバーホール
,yiTthr0O,918450,ソード オブ マナをフレッシュ アニメーション リソース パックと互換性を持たせる
,d1nRD7RG,342663,プログラマーアートテクスチャパック用パッチ
,JEZ93XXG,551139,8x8ピクセルの漫画の新鮮なオリジナルスタイル！
,jjGcjeIR,886426,Minecraft バージョンのバックルーム
,wFLeBRkG,503839,プログレスプレートモジュールのパターン化された石スタイルの外観
,Bw7Oyi0i,1096464,AshenとRegions Unexploredの間の基本的な互換性を16倍の解像度で実装します
,slufHzC2,990406,EMF プレーヤー アニメーション リソース パッケージは、プレーヤー エンティティにゴージャスな動きを追加し、Quark 表現/パルクール スキル/NEA およびその他のモジュール アニメーションと互換性があります。
,Keq5OmV7,858850,オリジナルのスタイルに合わせてエンドシティの外観を強化します
,kWgq7eAt,391858,私たちにふさわしい完璧な色合いです。
,50Rh3CqF,657574,それぞれのエンチャントされた本に独自のテクスチャを追加します (大量の MOD をサポート)
,meCkzj8O,851479,1.18パノラマに光と影を追加する高品質リソースパック |フルバージョンのサポート
,Lle48EBp,393001,鉱石にストロークを追加（Faithful x32 バージョン）
,8zPEQCkL,229122,ピンクの四角には無限の可能性が秘められています。
,d3JOyUGH,878413,CTOV および BYG 互換のデータ パッケージ
,ZrnmXWf6,896735,より多くのバイオモーフ MOD にフレッシュ アニメーションの互換性を追加しました
,3gQXrsPx,554485,RS Village のエッチングモジュールで音楽を演奏しましょう!
,6PJbKvJH,834282,Chef Lay’s と CTOV の間の互換性の拡張
,7YjclEGc,831385,松明やランタンなどのエンティティやアイテムが光ります。サーバー側でのみ有効です。
,e2fAZfFz,1016013,オリジナル バージョンの単調なチェストに別れを告げ、よりリアルなテクスチャが追加されました。
,ZMcqgmIV,663050,あらゆる生き物の健康状態を表示...
,tqtqwUe3,694918,RS村にBYGのギャザラー小屋を追加
,qbxgGjQ6,737167,読みやすいスムーズなモダンRPGフォント
,NzaimZYw,888328,海愛好家の必需品 - バックグラウンド モジュールをロードするためにカスタマイズされた海をテーマにしたゲームのロード画面
,sDzgzRzB,554354,RS Outpostを残忍で略奪的なスタイルに変える
,50akz7zH,906447,
,OyWCbj0l,564189,PVP 固有のミニ武器ツール (PVP クロスヘアを含む)
,LJazX7OI,947578,エンチャントされた本のテクスチャ用の xali ファン拡張パック
,6udpuGCH,639779,ユニークな魔法の本のテクスチャー！
,6GgEjSHS,322713,エンドポータルとエンダーアイに奇妙なランダムな点滅効果を追加しました
,kS4FsCxd,859499,音楽レコードをカセット形式に変換する
,a5ESRz6Q,825234,RSヴィレッジに新しい家と仕事場を追加しました！
,IjeNkkG5,858484,雨と雷の新しい効果音
,ZbZNRA1g,882133,クラシックなBOSSの新たな解釈
,qaTINtKD,909754,
,BORRKwOq,870000,ChoiceTheorem 村のオーバーホールと家畜化イノベーション MOD の互換性データ パック
,ivApM40Z,554363,RS 構造体に環境ブロックを生成させます
,S1rcrDD7,442365,大量のオリジナルテクスチャをシームレスに接続！
,UsixlLlt,385666,Minecraft の十字線の新しいデザイン
,VYltvPuN,548717,不正確な収集中にブロックによってドロップされたアイテムを表示します。全てのリソースパックに対応！
,mWmuC2TQ,326778,古いバージョンでも新しい Minecraft テクスチャを使用してください。
,ARf3yR3v,1096521,16x 解像度リソース パック、Ashen 16x および Visuality との互換性を追加
,IUJGdLaw,627173,かわいい花のテーマ GUI オーバーホール リソース パック
,BcDJfnX2,504003,従来のトーテム テクスチャをアホロートルをテーマにしたデザインに置き換えます
,u5lozjSP,977313,立方体植生
,oYrEfh82,849740,ミネラルを光らせ、暗闇でより目立つようにします (グロー/可視/自己発光/ストローク効果)
,8tVJRgvq,351202,冬をテーマにしたオリジナル体験がリニューアル！
,GOMwBq8d,926608,物理MOD雨の彩度を調整して、青を柔らかくし、実際の雨のシーンに近づけます
,ZM5PH9W6,412189,豪華な GUI と HUD - ダークモード/1.8 スタイル/1.19+ アダプテーション/Respackopts 構成
,yopVn4E8,580181,オリジナルのフォントの改良版 (解像度 32 倍)
,tEzYpIwc,807817,Eureka MOD に Create スタイルの美学を追加
,gfr4403r,408801,アイテム枠を非表示にするリソースパック
,5QsxmK1S,813415,水域の色はバイオームに応じて変化し、景観の統一性が向上します
,VDTtLGSV,969926,エンチャントされた本に差別化された外観を追加します。
,890hHez9,834277,豊富なモジュールとCTOV互換データパッケージ
,asD9taD4,1006193,Excalibur の非公式バグ修正と互換性パッチ
,bsBedndu,857188,1.20 鎧パターン発光エフェクト (光る/可視/自己発光/ストローク/1.20)
,6lrP7ALa,592525,LabPBR標準リソースパッケージ、オリジナルのテクスチャノイズを除去
,vZ8CfI8h,925115,属性が欠落しているイーブイ用の進化したフォームデータパッケージを追加しました
,5gU0lpwH,928901,オリジナルのようなテクスチャ、「食べるアニメーションモジュール」をサポート
,OEr1cDQd,554351,RS村の養蜂家Buzzier Beesをスポーンする
,osPoiuKP,413810,鉱物/宝石のテクスチャをツールのエンチャントに追加する VFX パック
,e67KFc9t,322168,オリジナルのアート スタイルに忠実でありながら、非常に最適化されたベアリー デフォルトは、一貫した、純粋で一貫したエクスペリエンスをもたらします。新しい詳細が数か月にわたって追加され、探索できるようになります
,KwbFimmq,344940,ハロウィンをテーマにした原体験がリニューアル！
,d0w6GHbr,794499,ショートカット バー、ハート型の体力と防具のアイコンを変更するリソース パック
,5Wz8MWHt,811234,カスタムモデルとテクスチャで芸術表現を高めるオリジナルスタイルのリソースパック
,dS7SM6Rb,537217,STONEBORN: ファンタジーにインスピレーションを得た素朴なギアのオーバーホール
,wYGa3J0a,454245,茶色/赤色キノコのバリエーションを追加
,UGEVQ6t9,884709,複数のモジュールと互換性のある、より美しい農業体験
,CUfOpYVR,571281,RS村に報奨金制度を追加！
,RvfAlf4Z,548744,レッドストーン体験を強化するリソースパック
,DAphTo2f,909676,
,yvtFvpUE,895273,水中でボートを揺らして（あるいは転がして！）
,ab1yZ2md,670120,スケルトン/ワンダラー/ウィザースケルトンのバイオームのバリエーションを追加しました
,CTAstxQN,376961,エンチャントされたアイテムに視覚的なアイデンティティを追加するリソース パック
,gksxFwJ1,946842,レトロなRPG風フォント
,bDPrulz9,636912,50 以上のモジュールをサポート | VTスムースフォント | 1.18～1.21.3
,9SBmGqnV,905517,シンプルな 3D ブロックをゲームに追加する
,70yluNSI,711916,ウェイストーンモジュールとCTOV互換プラグイン
,CFeoJnHX,682954,モジュールのミニマリスト PBR リソース パッケージを作成する
,SoYbSOGW,666290,「レンタル彼女」カスタムGUIパッケージ
,MhBq4iya,1017176,新しいモデルとアニメーション/変形クリーパー/手足の分解など!
,N7pdPOrX,864063,SMART BOOST: MC トレーラーにインスピレーションを得たミニマリスト 16x テクスチャ パック (1.16+)
,L16BPBvl,904988,RS村にパラディンの聖域を追加！
,GVW3MpmB,353232,クリスマスをテーマにした原体験がリニューアル！
,FmYJLZx3,286633,
,Gm2RS5fW,943350,Epic FightのサウンドエフェクトをSekiroのサウンドエフェクトに置き換える
,ENCwFpBk,845819,Cobblemon mod のポケモンのピクセル/シルエット アイコンを JourneyMap に追加しました。
,fyGliXG0,648065,CTOV互換データパックを使用した村人追加MOD
,dtUxfCNZ,904131,
,DxTxvV0E,949260,目に見えないガラスと透明な着色ガラス (煩わしい境界線がない)
,iV0hpqLt,704940,大工のベンチのレシピを BetterEnd に追加しました
,irAi0fTI,497571,ボックス再開アニメーション！
,BkTdFBUU,813185,複数のカラープリセットを備えた夢のような低エネルギー照明と影のパッケージ
,Q8Pek4aC,827450,
,6vhHOIKw,861241,アイコン化されたエンチャント名とカラフルなエンチャント ライト効果をエンチャントされた本/アイテムに追加します
,tGPo774G,779808,シャープで鮮明なフォント
,OrWwrISO,366938,すべてのアイテムから魅惑的な光の効果を削除する
,DWUyH6Mk,1096470,16x 解像度のリソース パック、Ashen 16x と Appleskin の互換性を追加
,BULmW8dH,697994,Drown's Tool Tweaks Resource Pack は、バニラ ツールと MOD ツールの外観をより統一し、多様性を追加することを目的としています。
