name,modrinth,curseforge,description
,LBcosBrl,356831,"Nie tylko retekstura, ale pakiet tekstur zawierający dodatkowe bloki, przedmioty i odmiany biomów."
,VBRCYdWr,567347,"Oferuje oryginalne kolonialne chaty, bloki i przedmioty."
,zQHARVIr,455845,"STONEBORN to prosta, ale wyjątkowa zmiana interfejsu użytkownika inspirowana mediami fantasy."
,xldhKzjO,927966,"Czy uważasz, że elfy dziewiątego pokolenia są zbyt brzydkie i wyglądają na pośpieszne? Oto rozwiązanie!"
,2YyNMled,231821,"Dramatic Skys to pakiet dodatków, który doda realistyczne chmury i efekty świetlne w wysokiej rozdzielczości do nieba w grach. Ten pakiet jest kompatybilny z każdym innym pakietem zasobów, po prostu dodaj go do innych pakietów na ekranie wyboru!"
,mjPjLK0t,945447,GUI o tematyce kosmicznej - wypełnione gwiazdami i mgławicami.
,zzh3Y6f4,298127,Otwarta czcionka wyglądająca podobnie do Google.
,WiAsCCzc,817895,"Bardzo ładny pakiet zasobów, który jest w pełni zgodny ze standardami LabPBR!"
,iHC8BZn4,1040578,"Atmosferyczny, wysoce konfigurowalny pakiet shaderów horroru, następca Insanity Shader."
,UHDcis5V,506559,Najlepszy pakiet zasobów waniliowych? Może...
,ijwaqfQD,380118,Lepsze tekstury trawy (obsługuje Optifine)
,HNlCBDGp,696522,"Ten pakiet zasobów jest uproszczoną wersją pełnego pakietu zasobów 424Friends, zawierającą jedynie zmodyfikowane obrazy, które zostały zastąpione obrazami z motywem 424Friends, wykorzystującymi nasze oficjalne logo i ikony."
,6uJCfiCH,921717,Przerażająca zmodyfikowana wersja uzupełniających shaderów
,an4fOhuR,720642,Irytujący pakiet serwerów dla wieśniaków
,wE0hjz4k,883456,Pakiet danych kompatybilności pomiędzy modem renowacji wioski ChoiceTheorem i modem altany
,VpyBGfGz,591507,Dodano domy PneumaticCraft do wioski RS
,6SLU7tS5,349116,🌙 Minecraft: Pakiet zasobów trybu ciemnego dla wersji Java
,DG1SXHAm,951805,"Moduł celownika specjalnie zaprojektowany do PvP, zastępujący oryginalny celownik stylem PvP"
,pedwdTC8,862558,Wyświetlaj wartość odżywczą żywności w podpowiedziach przedmiotów
,uakHOvte,986528,"Moduł celownika specjalnie zaprojektowany do PvP, zastępujący oryginalny celownik stylem PvP"
,orfTV6nk,223164,Wersja 128x HD klasycznego doświadczenia MC! Uzyskaj teksturę światła i cienia bez utraty klatek!
,qYQZ6QvN,939100,Dostosuj obraz tła głównego interfejsu MC
,LgvDiFDR,476719,Dodano wiele odmian rud!
,wpQSS5ZP,664122,Prawdziwy domyślny materiał PBR 16x
,dLYWYSIm,878406,Pakiet danych dotyczących kompatybilności dla modułów CTOV i Advanced Peripheral
,DyS2E78l,986353,Reteksturowanie i modyfikacja modelu niektórych bloków/przedmiotów w Create: Teleporters
,LxWe8vLh,1096454,Pakiet tekstur 16x: Zapewnia podstawową kompatybilność z modułami z serii Ashen 16x i Let's Do
,CpA767Rl,308355,"Dotyczy wersji 1.8.8+; sprawia, że ​​wszystkie interfejsy gry są przejrzyste i prezentują minimalistyczny, nowoczesny styl! Obsługuje efekty nakładki płomienia i głowy dyni"
,6gN0TwLG,909738,
,r4GILswZ,419139,Tekstury w poczwórnej rozdzielczości zapewniają najwyższą szczegółowość!
,vlbXWQ2k,907048,Ekranowanie nie zakrywa już połowy ekranu!
,B9RvpVrv,622551,Dodaj prawdziwe górskie biomy do świata MC
,uudmIrRl,864002,Wstrzyknij oryginalną treść do wymiaru nieba!
,apRwIWGw,690845,Zaprojektuj unikalne tekstury dla każdej zaczarowanej książki! Nie jest wymagany Optifine/Citresew!
,mKaYfrOy,640296,Zmieniono styl piramidy RS na lepszy styl pustynnej świątyni
,ePaZVJM4,634440,Zmieniono styl Chatki Czarownicy RS na Lepszy styl Chatki Czarownicy
,uZAJ8Zy7,870007,Pakiet danych dotyczący kompatybilności ChoiceTheorem Village Overhaul z modułem Wizards Mod
,qUbxpIPN,554329,Zmieniono styl lochów RS na Better Dungeon
,tN4E9NfV,855981,"Narzędzie edukacyjne, które w prosty i neutralny sposób wyjaśnia mechanizmy zgłaszania czatów"
,zCW2yzTP,861004,Dzięki ultrarealistycznym pakietom tekstur i oszałamiającym efektom wizualnym rozpocznij niespotykaną dotąd przygodę MC!
,2C5ThaTB,520155,"Nowoczesne, gładkie upiększanie czcionek"
,zSHTYbCW,885169,"Pakiet świecących materiałów ze wzorem pancerza (wymaga Optifine, aktywuj 10 kolorów i 16 świecących wzorów poprzez zmianę nazwy)"
,dqHyaXIs,407973,Oswojone wilki przemienią się w 41 prawdziwych ras psów
,aTAs6Zq8,859805,"Moduł celownika specjalnie zaprojektowany do PvP, zastępujący oryginalny celownik stylem PvP"
,izDZRaNR,428068,Materiał samoświecący MC
,Bod7oeB2,643512,Zestaw narzędzi do miecza RPG dostosowany do PVP (w tym niestandardowy celownik)
,GJ4GGBq6,689285,Oficjalny pakiet tekstur HD modułu NBArmors zawiera teraz 55 zestawów zbroi HD
,mh9nQqo4,881633,CC: Remake w stylu mechanicznej mocy Tweaked
,zrzYrlm0,811803,Wrogie stworzenia wyskoczą z ziemi lub pojawią się z powietrza!
,kl640Av3,652685,Dodano sklep zoologiczny w wiosce RS!
,P5wB88AS,554331,Dodaj radość rolnika do zrekonstruowanej wioski
,7z5vv7za,686611,"Spraw, by ruda świeciła w ciemności"
,DCHWs5EF,499464,"Spraw, aby Bare Bones było kompatybilne z pakietem tekstur Fresh Animations"
,a2GCqbko,883459,Pakiet danych kompatybilności dla modułów CTOV i paralotni
,Z9UclEVT,704941,Dodano przepis na ławkę stolarską dla BetterNether
,O7z3QKAG,422346,Dodaj projekt ikon do wielu systemów gry
,qfYE1L5z,662592,Dodaj świecące kontury do rud! Kompatybilny z większością pakietów tekstur!
,3xf3eGxN,390367,Ścieżka dźwiękowa do moda Pokémon wyprodukowana przez Chrisa Geddesa
,kJix7Q1N,887445,Wymiar końcowy został wzmocniony!
,S2Zdxlhc,951803,Moduł zastępczy mini muszki
,RbDebQrR,1014677,Mała kompatybilna kolekcja modów poprawiających interfejs użytkownika Stoneborn
,ZTdGFilE,1038940,Pakiet tekstur Better 3D Craft: dodano ponad 70 nowych modeli bloków/przedmiotów 3D
,udpUpENa,956447,Przywróć kolor domyślny kolorowych linii obramowania bloku
,1PGegzf5,911408,Pakiet materiałów dotyczących interfejsu najwyższego poziomu
,XSPvBAGx,554361,Wygeneruj budynek Legenda Lodu i Ognia w wiosce RS
,WbANFu9v,775765,Czcionka The Legend of Zelda The Wind Waker
,ESu26zW9,332329,"Odnowić styl MC, zachowując tradycyjny urok? Pakiet tekstur CreatorPack HD Cię zadowoli!"
,uefkcaqY,920589,Styl znaku postępu w stylu mocy mechanicznej
,KEtTF8II,847523,Nowa panorama z obsługą światła i cienia
,FRSckbRo,336686,Klasyczny styl MC z innowacyjnymi modelami 3D
,L21ipgCe,892905,Wymiana złotych kart na kolorowe wersje mojego modu talii tarota
,mC2IML84,877191,Dodano ikony odznak i kolorowe etykiety do podpowiedzi przedmiotów
,Symh7COQ,468836,Utworzono pakiet tekstur Storage Network: Zastępuje tekstury modułów sieci pamięci masowej Lothrazar stylem mocy mechanicznej Simibubi
,8PxXQiGm,649817,Kurniki można teraz tworzyć w wioskach RS! ! !
,E4PmmlqX,333412,"Rustykalny, a zarazem klasyczny"
,S313KZR3,905155,Pakiet danych kompatybilności ChoiceTheorem Village Overhaul z Monobanks Mod
,C5cIabB8,222097,Realistyczne dźwięki i losowe odmiany bloków nadają MC bardziej organiczny charakter
,A8aBf1Xa,451763,"Pakiet tekstur PBR/POM HD, który zachowuje oryginalny styl"
,L0iIXINl,882877,Elegancka czcionka MC do osobistego projektu
,ZyLGK5YD,973588,Pakiet tekstur elementów/bloków/GUI w rozdzielczości 32x32 dla moda Mechanical Power (Create).
,DERCGCA3,888288,"Ten pakiet zasobów stanowi doskonałe uzupełnienie moda Tła ładowania, w szczególności dodając ekrany ładowania związane z budynkami."
,zREUZ4Cs,683155,Dodatek Lush Foliage do Whimscape
,fUawEtti,964322,"Tekstury HD 32x32 dla przedmiotów, bloków i GUI modów GregTech/GT"
,KP2WhfaM,316946,[Aktualizacja] Zostań Ant-Manem!
,vqrI97xw,952112,"Tekstury HD 32x32 dla przedmiotów, bloków i GUI moda Terra Resurrection"
,rox3U8B6,327786,Tekstury Minecrafta w stylu filmu promocyjnego
,9nStzADg,858982,Umożliwia spawnowanie się Pokémonów w różnych rozmiarach (wymaga zainstalowanego moda Pehkui)
,cWBm5y89,1096434,Mini Pakiet Zasobów 16x: Zapewnia podstawową kompatybilność z Ashen 16x i Eldritch End
,f9KJTi50,263638,Wyłącz muzykę w tle dla głównego interfejsu (ekran tytułowy)
,ur1ZuVtB,1096438,16x Mini Resource Pack: Zapewnia podstawową kompatybilność z Ashen 16x i Better End
,R4g9Nf07,593570,Pakiet tekstur PBR: przekształć styl grafiki pikselowej w zaokrąglony efekt trójwymiarowy
,8bf2GogI,855152,"Zachowując oryginalny styl, różne elementy zostały znacznie zoptymalizowane, ulepszone i naprawione."
,BcyGAwlg,860903,Pakiet tekstur poprawiający teksturę modułu „Roadstone”.
,9D4BBjDX,855573,Osiągnij błyszczące efekty rudy 3D bez shaderów
,WQ8xE11Z,690393,Zmień podwodny pomnik RS na styl Better Ocean Monument
,7FPKQLzr,871465,Świecąca dynamiczna ruda (obsługuje wersję od 1.16 do najnowszej): świecą w nocy i ciemne efekty
,Srw5RQ6k,513425,"Pakiety tekstur dla osób, które nienawidzą pakietów tekstur"
,rpaqVyiI,1028445,Niestandardowy model stworzenia Ashen zgodny z Fresh Animations autorstwa Fresh__LX
,eddq8rrf,683123,Dodaj nowe rasy kotów i zoptymalizuj realistyczny wygląd istniejących kotów (obsługa Optifine/Fabric)
,TghJ0CEU,957898,Animacje graczy zostały całkowicie przerobione i ożywione!
,FXw3rwS0,836124,Zmniejsz efekty dźwiękowe kliknięcia menu
,6seZEdkp,846549,Zrefaktoryzowany interfejs graficzny Minecrafta | Lekki motyw
,ruIZ2s2r,522485,"Zmniejsz nasycenie deszczu, aby zbliżyć się do realistycznej sceny deszczu w odcieniach szarości (szczególnie nadaje się do użycia z modułami cieniującymi)"
,LSmohupN,864112,16x Minecraft w średniowiecznym stylu fantasy
,BY2ksJHF,351975,32-krotny pakiet tekstur z motywem przygodowym w stylu czystych pikseli
,lxdu8mT0,820784,Dodano tekstury trybu fabularnego do moda Cracker's Witherstorm
,xGCng9FL,776419,Stwórz stylowy Tom proste przechowywanie
,RPrIU0O0,1068288,Teraz koty będą jeszcze bardziej urocze! Ale nadal harmonijnie współistnieje z oryginalnym stylem...
,QSKCFxWX,893328,Uzupełnij ścieżkę dźwiękową Minecrafta zaginioną nostalgiczną muzyką C418!
,bY6ifSOi,538478,Do zaczarowanych książek dodano teksturę krawędzi minerału/klejnotu (tematyczny efekt wizualnego zaklęcia)
,itBxlKsu,858848,Popraw efekty wizualne miast końcowych dzięki modom BetterEnd
,8Xv7wkWd,844259,"Możliwa do eksploracji, na wpół zakopana forteca w dżungli (w tym naziemne wieże)"
,olO1TaXd,785390,Realistyczne tekstury dostosowane do shaderów (zachowując oryginalne odcienie)
,XFnaXwdB,759452,Ostra czcionka RPG w stylu technologicznym
,Kit8I4Pu,825997,
,hJAzl1Bs,326818,Epicki średniowieczny styl fantasy
,O7XvzQkN,1028450,Dodano obsługę różnych modów społeczności do Ashen 16x [Przestarzałe]
,PFPUNiJp,426352,Pakiet tekstur z motywem zimowym lodu i śniegu!
,GalExSh7,384081,"Golden Days Alpha: Odtwórz klasyczną wersję Alpha koloru liści trawy! Wymaga użycia z bazą Golden Days, aby ponownie przeżyć wrażenia z Alpha we współczesnym MC!"
,p7P0HjJw,878428,Pakiet danych kompatybilności ChoiceTheorem Village Overhaul z modami Savage i Ravage
,73G2oXxA,893171,Pakiet tekstur specyficzny dla PvP (najnowsza wersja 1.16): przerobiony pełny zestaw tekstur zbroi i netherytu/diamentu/żelaza/złota/łańcucha/drewna/kamienia
,ia2umfZR,399487,[1.7-1.19] Naprawdę przezroczyste szkło!
,ti4S0dP0,305952,"Pakiet materiałów w stylu pikselowym stworzony przez Jakoba.zero opiera się na wielowymiarowych wzorach bloków, podkreślających niepowtarzalny urok blokowego świata."
,AdXxxPfs,758265,Pikselowe tekstury EnhancedVisuals (bliższe oryginalnemu stylowi)
,oUSJyuav,656215,Aktualizacja realizmu zwierząt hodowlanych
,5cWrW4FI,834273,Moduł Croptopia i pakiet danych dotyczących zgodności CTOV
,a84VJ7Y9,771370,"Prosty pakiet tekstur, który zamienia pasek doświadczenia w kolory tęczy"
,E8fGzGhh,616586,"Nowy pakiet tekstur PBR/POM: dodawaj szczegóły, zachowując oryginalne wrażenie pikseli"
,TjOXlt9Y,885553,Oryginalna połączona tekstura + obsługa Fusion
,beHlML1z,955645,Wymiana celownika PVP na celownik (zmień oryginalny celownik na styl PVP)
,EkrInWCl,350660,Ciemny interfejs ładowania i elementy GUI (optymalizacja ochrony oczu)
,PsMUgCo5,622551,Największy i najbardziej wszechstronny pakiet tekstur Skyrim w historii
,uJ0YMl4f,547822,Zmień styl RS Fortress na Lepszy styl Twierdzy
,7DqvgzpQ,836155,Pakiet tekstur 3D w oryginalnym stylu (bez niszczenia tradycyjnego wrażenia pikseli)
,CjZB9nf0,836909,Dodaj obsługę elementów zdarzenia dla OR
,R2M9Yj9d,354421,Pakiet zasobów o tematyce zimowej/bożonarodzeniowej od Vanilla Additions
,re5yGOyz,679166,księżyc.
,uPCMwj7H,928023,Używaj roślin Cobblemon (szyszki/owoce z drzew/korzenie/zioła itp.) w doniczkach
,6ZymelzH,993307,Moduł „Skyland” zmienia teksturę i dostosowuje się do pakietu tekstur Excalibur firmy Maffhew
,H0lxoIBE,904898,Dodanie altanki do wioski Przekształconych Konstrukcji
,uvpymuxq,380969,Wysokowydajna optymalizacja wyglądu liści (wysoka kompatybilność modułów)
,iunZDj0l,869986,Moduł upiększający i pakiet danych zgodności CTOV
,eN2UAbCS,355140,"Pakiet tekstur Vattic’s Faithful w wersji 32x (zachowując oryginalny styl, ale dopracowując go)"
,pMLZzzF5,858433,Witam wszystkich! Przyniesiony tym razem pakiet tekstur może poprawić przejrzystość ekranu gry.
,lUrFvZH1,470652,Oszałamiający pakiet tekstur PvP 32x Celesta przenosi Cię na pole bitwy z czystą innowacją i zanurza Cię w świat niezrównanych wrażeń PvP!
,ZVTx4h1P,554341,Popraw swoje wrażenia z RS dzięki modom jaskiniowym i klifowym
,cwUMcX8W,687374,Celem jest usunięcie wszystkich GUI w ciemnym stylu (w tym oryginalnych wersji i modów)
,6NpNU321,626693,"Stworzono zaawansowane domy peryferyjne, które generują się w wioskach RS"
,7vT7Bwz9,837728,"Oparty na lepszym modzie do twierdzy w Netherze Yunga, dodający do świata gigantyczną fortecę w dżungli!"
,ctsYF3nI,972258,"Ulepszenie oryginalnego, nudnego wyglądu wilka!"
,DasdQ0y9,465262,Dodaj szczegółowe modele i efekty animacji do smoczych jaj
,9M4nfwjl,637986,Pakiet przewodników pierwszej generacji powraca w chwale
,hFoOkEdk,509339,Zmień swoje łóżko w bardziej wspaniały i uroczy styl!
,quMLCyp9,886331,"Stworzyliśmy domyślny pakiet zasobów zawierający obrazy gier, ale można go łatwo dostosować, po prostu zastępując obrazy"
,Dp3twuO6,977843,Alternatywne modele broni 3D dla komórek kopalnianych
,FsygnwFm,422825,Widoczny pakiet tekstur mineralnych poprawia wydajność wydobycia poprzez podkreślanie rud
,Grn2JrYW,554344,Stworzono domy inżynieryjne zanurzeniowe generowane w wioskach Republiki Południowej Afryki
,PXOlmnke,821245,Wieśniaków można teraz prowadzić na smyczy!
,TM94CBvz,990393,"Popraw oryginalny, monotonny wygląd ocelota!"
,wKu40yBb,876714,Zmniejsz zakłócenia wizualne płomienia
,ZemCyvLM,959646,Pakiet zasobów w nowoczesnym stylu firmy GregTech
,wmXxr9ku,859798,Wymieniono oryginalny celownik na nowoczesną i lepszą wersję
,BFzJ6aQL,384081,Pakiet zasobów Złotych Lat przywraca tekstury/oświetlenie/nazwy/efekty dźwiękowe starej wersji MC
,lP7OH3rE,859808,Celownik w stylu snajperskim zastępuje oryginalny celownik
,NlV6RQjs,335761,Pakiet tekstur w stylu anime
,ItHr72Fy,572892,Osiąganie efektów pełnej jasności w trybie Na/HD Restoration/Oryginał
,nXngdyOv,554338,Przekształć chatkę wiedźmy RS w styl Hexerei
,CdRC4fyI,628469,Rozszerzenie kompatybilności między Nongfu Leshi i CTOV
,nELgl6gi,948934,Przywróć tekst DarkRPG do oryginalnego języka
,eshAdv4B,643669,Niestandardowy pakiet GUI Pokémon
,9aE6Ib8a,943817,Zmniejsz przeszkody wizualne spowodowane deszczem i śniegiem
,hl0bs6jf,821708,Dodaj wieżę czarodzieja do wioski RS
,sPT9u2eL,665218,Dodano warianty koloru skóry/koloru oczu/koloru brwi dla mieszkańców wioski
,ZpBKASR2,478165,Dodaj rozpoznawalne niestandardowe tekstury do zaczarowanych książek dzięki technologii CIT
,6DwvxSMP,585361,Wyświetl zdrowie gracza i stworzenia!
,UiaFErsS,872654,Przegląd wioski ChoiceTheorem z pakietem danych dotyczących kompatybilności ulepszeń osadników
,yiTthr0O,918450,"Spraw, aby Sword of Mana był kompatybilny z pakietami zasobów Fresh Animations"
,d1nRD7RG,342663,Łatka dla pakietu tekstur sztuki programisty
,JEZ93XXG,551139,"Kreskówka o wymiarach 8x8 pikseli, świeży, oryginalny styl!"
,jjGcjeIR,886426,Wersja Minecraft na zapleczu
,wFLeBRkG,503839,Wzorzysty wygląd kamienia w module płyty postępu
,Bw7Oyi0i,1096464,Zaimplementuj podstawową kompatybilność pomiędzy Ashen i Regions Unexplored w rozdzielczości 16x
,slufHzC2,990406,Pakiet zasobów animacji odtwarzacza EMF dodaje wspaniałe ruchy do jednostek gracza i jest kompatybilny z wyrażeniami Quark/umiejętnościami parkour/NEA i innymi animacjami modułów
,Keq5OmV7,858850,Popraw wygląd miasta końcowego w sposób pasujący do oryginalnego stylu
,kWgq7eAt,391858,"Idealny odcień, na jaki zasługujemy!"
,50Rh3CqF,657574,Dodaj unikalne tekstury do każdej zaczarowanej książki (obsługuje mnóstwo modów)
,meCkzj8O,851479,Wysokiej jakości pakiet zasobów do dodawania światła i cienia do panoramy 1.18 | Pełna obsługa wersji
,Lle48EBp,393001,Dodaj udar do rudy (wersja Faithful x32)
,8zPEQCkL,229122,Różowe kwadraty kryją w sobie nieograniczone możliwości!
,d3JOyUGH,878413,Pakiety danych kompatybilne z CTOV i BYG
,ZrnmXWf6,896735,Dodano kompatybilność z Fresh Animations dla większej liczby modów biomorfów
,3gQXrsPx,554485,Odtwarzaj muzykę za pomocą modułów Etched w RS Village!
,6PJbKvJH,834282,Rozszerzenie kompatybilności pomiędzy Chef Lay’s i CTOV
,7YjclEGc,831385,"Istoty i przedmioty, takie jak pochodnie/latarnie, będą świecić! Obowiązuje tylko po stronie serwera!"
,e2fAZfFz,1016013,"Pożegnaj monotonne skrzynie z oryginalnej wersji, teraz z bardziej realistycznymi teksturami!"
,ZMcqgmIV,663050,Zobacz zdrowie dowolnego stworzenia...
,tqtqwUe3,694918,Dodano chatę zbieracza BYG w wiosce RS
,qbxgGjQ6,737167,"Łatwa do odczytania, gładka, nowoczesna czcionka RPG"
,NzaimZYw,888328,"Pozycja obowiązkowa dla miłośników oceanów – ekran ładowania gry o tematyce oceanicznej, dostosowany do ładowania modułów w tle"
,sDzgzRzB,554354,Przekształć RS Outpost w styl brutalny i plądrujący
,50akz7zH,906447,
,OyWCbj0l,564189,Narzędzie do minibroni specyficzne dla PvP (w tym celownik PvP)
,LJazX7OI,947578,Pakiet rozszerzeń xali fan dla zaczarowanych tekstur książek
,6udpuGCH,639779,Unikalna zaczarowana tekstura książki!
,6GgEjSHS,322713,Dodano dziwne losowe efekty migania do portali końcowych i oczu Endu
,kS4FsCxd,859499,Konwertuj płyty muzyczne na format kasety
,a5ESRz6Q,825234,Dodano nowe domy i miejsca pracy do RS Village!
,IjeNkkG5,858484,Nowe efekty dźwiękowe dla deszczu i grzmotów
,ZbZNRA1g,882133,Nowa interpretacja klasycznego BOSS
,qaTINtKD,909754,
,BORRKwOq,870000,Pakiet danych kompatybilności dla modów ChoiceTheorem Village Overhaul i Domestication Innovation
,ivApM40Z,554363,Niech struktura RS generuje bloki środowiska
,S1rcrDD7,442365,Bezproblemowo łącz mnóstwo oryginalnych tekstur!
,UsixlLlt,385666,Nowy projekt celownika Minecraft
,VYltvPuN,548717,Wyświetla przedmioty upuszczone przez bloki podczas niedokładnego zbierania. Kompatybilny ze wszystkimi pakietami zasobów!
,mWmuC2TQ,326778,Użyj nowych tekstur Minecrafta w starszych wersjach!
,ARf3yR3v,1096521,"Pakiet zasobów w rozdzielczości 16x, dodający kompatybilność z Ashen 16x i Visuality"
,IUJGdLaw,627173,Pakiet zasobów GUI z motywem uroczych kwiatów
,BcDJfnX2,504003,Zamień tradycyjne tekstury totemów na projekty z motywem aksolotla
,u5lozjSP,977313,Roślinność sześcienna
,oYrEfh82,849740,"Sprawia, że minerały świecą i są bardziej widoczne w ciemności (efekty blasku/widoczności/samooświetlenia/efektu udaru)"
,8tVJRgvq,351202,Nowa wersja oryginalnego doświadczenia o tematyce zimowej!
,GOMwBq8d,926608,"Dostosuj nasycenie deszczu w trybie fizyki, aby niebieski był bardziej miękki i bliższy prawdziwej scenie deszczu"
,ZM5PH9W6,412189,Wspaniały GUI i HUD - tryb ciemny/styl 1.8/adaptacja 1.19+/konfiguracja Respackopts
,yopVn4E8,580181,Ulepszona wersja oryginalnej czcionki (rozdzielczość 32x)
,tEzYpIwc,807817,Dodanie estetyki tworzenia stylu do modów Eureka
,gfr4403r,408801,"Pakiet zasobów, który sprawia, że ramki przedmiotów stają się niewidoczne"
,5QsxmK1S,813415,"Kolor zbiornika wodnego zmienia się wraz z biomem, poprawiając jedność krajobrazu"
,VDTtLGSV,969926,Dodaj zróżnicowanego wyglądu zaczarowanym książkom!
,890hHez9,834277,Bogaty moduł i pakiet danych zgodny z CTOV
,asD9taD4,1006193,Nieoficjalne poprawki błędów i poprawki kompatybilności Excalibur
,bsBedndu,857188,1.20 Efekt świetlny wzoru pancerza (błyszczący/widoczny/samoświecący/skok/1.20)
,6lrP7ALa,592525,"Standardowy pakiet zasobów LabPBR, usuwa oryginalne szumy tekstur"
,vZ8CfI8h,925115,Dodano pakiet danych ewolucji Eevee z brakującymi atrybutami
,5gU0lpwH,928901,"Tekstura przypominająca oryginał, obsługuje „moduł animacji jedzenia”"
,OEr1cDQd,554351,Stwórz pszczelarza Buzzier Bees w wiosce RS
